排名(rank),电影ID(id),电影名称(title),评分(score),评分人数(vote_count),上映日期(release_date),类型(types),地区(regions),主演(actors),主演人数(actor_count),是否可播放(is_playable),是否已观看(is_watched),封面接(cover_url),详情页链接(url)
141,1301230,夺魂索,8.1,77403,1948-08-28,"犯罪,悬疑,惊悚",美国,"约翰·道尔,法利·格兰杰,詹姆斯·斯图尔特,伊迪丝·埃文森,道格拉斯·迪克,琼·钱德勒,塞德里克·哈德威克,康丝坦斯·柯莉儿,迪克·霍根",9,True,False,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2154845412.jpg,https://movie.douban.com/subject/1301230/
142,2335122,真相至上,8.3,37816,2008-09-08,"剧情,悬疑",美国,"凯特·贝金赛尔,马特·狄龙,维拉·法米加,安吉拉·贝塞特,大卫·休默,阿伦·阿尔达,诺亚·怀尔,罗德·拉里,杰米·谢尔丹,考特尼·万斯",25,True,False,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p769052768.jpg,https://movie.douban.com/subject/2335122/
143,1292234,漫长的婚约,8.1,72414,2004-10-27,"剧情,悬疑,爱情,战争","法国,美国","奥黛丽·塔图,加斯帕德·尤利尔,多米尼克·皮侬,安德烈·杜索里埃,迪基·奥尔加多,玛丽昂·歌迪亚,朱迪·福斯特,让-皮埃尔·达鲁森,克洛维斯·科尔尼亚克,德尼·拉旺",25,True,False,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803957472.jpg,https://movie.douban.com/subject/1292234/
144,1827955,名侦探柯南：侦探们的镇魂歌,8.0,122734,2006-04-15,"动画,悬疑",日本,"高山南,堀川亮,神谷明,山口胜平,山崎和佳奈,宫村优子,松井菜樱子,林原惠美,岩居由希子,高木涉",41,True,False,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2249750926.jpg,https://movie.douban.com/subject/1827955/
145,30241102,行骗天下JP：浪漫篇,8.1,64722,2019-05-17,"喜剧,悬疑",日本,"长泽雅美,东出昌大,小日向文世,竹内结子,三浦春马,江口洋介,小手伸也,织田梨沙,前田敦子,小栗旬",32,False,False,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2549891899.jpg,https://movie.douban.com/subject/30241102/
146,1895120,死寂,7.9,330939,2007-03-16,"悬疑,恐怖",美国,"唐尼·沃尔伯格,安贝·瓦莱塔,瑞恩·柯万腾,迈克尔·费尔曼,鲍勃·冈顿,劳拉·里根,朱迪思·罗伯茨,迪米特里·柴波维特斯基,凯尔·吉克瑞斯特,斯蒂夫·亚当斯",12,True,False,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1235830609.jpg,https://movie.douban.com/subject/1895120/
147,1305903,心慌方,7.9,235860,1997-09-09,"科幻,悬疑,惊悚",加拿大,"妮可·德波儿,妮基·瓜达尼,大卫·休莱特,安德鲁·米勒,朱利安·瑞钦斯,韦恩·罗布森,毛里斯·迪恩·温特",7,True,False,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2554538282.jpg,https://movie.douban.com/subject/1305903/
148,2464346,白丝带,8.2,40216,2009-09-17,"剧情,悬疑","德国,奥地利,法国,意大利","克里斯蒂安·富里道尔,恩斯特·雅各比,莉奥妮·贝尼希,乌尔里希·图库尔,尤拉西纳·拉尔迪,费昂·穆特尔特,迈克尔·克兰茨,布尔格哈特·克劳斯纳,斯特菲·库内特,玛丽亚·德拉格斯",34,True,False,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2196608840.jpg,https://movie.douban.com/subject/2464346/
149,24860563,招魂2,7.9,224526,2016-06-10,"剧情,悬疑,恐怖","加拿大,美国,英国","帕特里克·威尔森,维拉·法米加,麦迪逊·沃尔夫,弗兰西丝·奥康纳,劳伦·埃斯波西托,本杰明·海格,帕特里克·麦考利,西蒙·迈克伯尼,玛丽亚·多耶·肯尼迪,西蒙·德兰尼",25,False,False,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2360924286.jpg,https://movie.douban.com/subject/24860563/
150,1310175,群鸟,8.0,88391,1963-03-28,"悬疑,惊悚,灾难",美国,"罗德·泰勒,杰西卡·坦迪,苏珊娜·普莱舍特,蒂比·海德莉,维罗尼卡·卡维特,艾塞尔·格里菲斯,查尔斯·麦格劳,鲁斯·麦克德维特,朗尼·查普曼,乔·马特尔",25,True,False,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1493936502.jpg,https://movie.douban.com/subject/1310175/
151,1416898,鲸鱼马戏团,8.6,19098,2000-07-12,"剧情,悬疑","匈牙利,意大利,德国,法国","拉尔斯·鲁道夫,彼得·菲茨,汉娜·许古拉,亚诺什·德尔日,焦科·罗西奇,塔马斯·维兹曼,费伦茨·卡洛伊,米哈伊·科莫斯,普吉·霍瓦特,埃妮克·伯尔彻克",26,True,False,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726224656.jpg,https://movie.douban.com/subject/1416898/
152,26877406,名侦探柯南：章节ONE 变小的名侦探,8.4,25468,2016-12-09,"动画,悬疑",日本,"山口胜平,高山南,山崎和佳奈,林原惠美,绪方贤一,小山力也,高岛雅罗,岩居由希子,高木涉,大谷育江",37,True,False,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505885669.jpg,https://movie.douban.com/subject/26877406/
153,1291869,本能,7.9,176893,1992-03-20,"剧情,悬疑,惊悚","美国,法国","迈克尔·道格拉斯,莎朗·斯通,乔治·杜兹达扎,珍妮·特里普尔霍恩,丹尼斯·阿尔恩特,米彻·佩勒吉,Bill Cable,杰克·麦吉,斯蒂芬·托布罗斯基,丹尼尔·冯·巴根",16,False,False,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2580938083.jpg,https://movie.douban.com/subject/1291869/
154,27040737,祈祷落幕时,7.9,175426,2019-04-12,"剧情,悬疑",日本,"阿部宽,松岛菜菜子,沟端淳平,田中丽奈,木村绿子,乌丸节子,春风亭升太,音尾琢真,饭丰万理江,上杉祥三",21,True,False,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2552073598.jpg,https://movie.douban.com/subject/27040737/
155,3819877,活埋,7.9,165368,2010-10-01,"剧情,悬疑,惊悚","西班牙,英国,美国,法国","瑞安·雷诺兹,何塞·路易斯·加西亚·佩雷斯,罗伯特·帕特森,斯蒂芬·托布罗斯基,萨曼莎·玛西丝,埃里克·帕拉迪诺,凯利·罗查,克里斯·威廉·马丁,玛丽·伯德桑,安妮·洛克哈特",13,True,False,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p598565639.jpg,https://movie.douban.com/subject/3819877/
156,10558405,古畑任三郎完结篇 重生之死,9.0,12003,2006-01-03,"犯罪,悬疑",日本,"田村正和,小林隆,矢岛健一,石坂浩二,石井正则,西村雅彦,铃木一朗,藤原龙也",8,False,False,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2155138409.jpg,https://movie.douban.com/subject/10558405/
157,1400240,去年在马里昂巴德,8.3,28487,1961-08-29,"剧情,爱情,悬疑","法国,意大利","德菲因·塞里格,乔治·阿尔贝塔齐,萨夏·皮托埃夫,弗朗索瓦丝·斯皮拉,达维德·蒙特穆里,热拉尔·洛林,弗朗科西斯·博汀,路思·加西亚-维莱",8,True,False,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2186651056.jpg,https://movie.douban.com/subject/1400240/
